名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
＼(＾o＾)／★,2.454,54.331,8.024,2197.266,0.212,5697.241,10.735,0.115,4863.759,10.755,0.163,8.684,0.5,0.318,6.045,0.412
おじさん,2.463,36.758,7.739,2184.048,0.223,5444.433,10.518,0.127,4964.485,10.616,0.176,8.702,0.481,0.397,5.42,0.463
cobehope,2.494,3.691,7.023,2154.033,0.214,5744.359,10.882,0.135,4989.642,10.843,0.16,9.235,0.47,0.365,6.238,0.486
zoo1964,2.454,54.857,7.928,2201.946,0.211,5861.369,10.73,0.121,4963.038,10.781,0.178,8.874,0.484,0.335,6.045,0.436
遊走,2.452,32.828,7.787,2195.775,0.228,5463.183,10.765,0.139,4982.202,10.709,0.194,8.966,0.481,0.379,5.771,0.55
tori0612,2.472,36.686,7.663,2175.019,0.226,5103.936,10.482,0.118,4969.059,10.647,0.119,8.488,0.524,0.459,5.536,0.48
④センチ,2.434,96.341,8.482,2227.544,0.219,5784.403,10.751,0.122,4891.811,10.677,0.187,8.901,0.487,0.33,5.822,0.435
ヤキン,2.469,33.638,7.822,2167.899,0.214,5428.229,10.588,0.117,4841.184,10.707,0.15,8.599,0.503,0.39,6.092,0.44
比嘉秀仁,2.493,27.766,6.896,2142.071,0.217,5780.464,10.787,0.136,5010.999,10.81,0.195,8.945,0.476,0.348,5.605,0.479
K。,2.479,2.928,7.446,2152.797,0.212,5470.227,10.675,0.121,4818.553,10.694,0.169,8.654,0.486,0.344,6.182,0.435
sandiris,2.438,99.934,8.295,2225.001,0.221,5757.022,10.766,0.125,4932.172,10.807,0.176,8.777,0.494,0.361,5.869,0.468
びりびり☆ビリー,2.457,39.891,8.225,2187.099,0.22,5374.627,10.552,0.12,4920.655,10.771,0.164,8.543,0.506,0.379,5.655,0.444
hayato☆,2.48,26.105,7.358,2164.353,0.209,5698.586,10.67,0.121,4857.367,10.681,0.156,8.938,0.484,0.318,5.779,0.409
CLS,2.441,43.025,8.524,2222.128,0.198,6084.166,10.816,0.112,4864.277,10.809,0.162,8.842,0.494,0.292,6.261,0.391
ニャッピー夏目,2.461,47.213,8.042,2191.33,0.222,5357.624,10.602,0.121,4805.615,10.519,0.153,8.725,0.502,0.373,5.58,0.418
zeRo,2.417,105.955,8.863,2252.034,0.217,5812.47,10.735,0.117,4977.986,10.764,0.184,8.763,0.488,0.339,5.725,0.449
durrrrr,2.485,10.59,7.166,2164.453,0.227,5341.444,10.603,0.128,5088.358,10.669,0.168,8.829,0.488,0.378,6.054,0.481
zkurt,2.448,68.585,8.035,2199.411,0.215,5670.473,10.746,0.122,4773.501,10.804,0.162,8.726,0.499,0.284,6.117,0.416
とびまこ,2.474,19.478,7.401,2182.57,0.22,5697.515,10.776,0.134,5077.803,10.666,0.171,8.952,0.48,0.382,5.59,0.49
デジタル仙人,2.453,60.011,8.312,2181.127,0.21,5693.287,10.689,0.116,4791.51,10.637,0.156,8.968,0.498,0.308,5.739,0.401
奈落の王,2.482,19.626,7.552,2155.821,0.204,5543.238,10.523,0.106,4825.248,10.616,0.154,8.59,0.498,0.321,5.722,0.366
