名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
ASAPIN,2.393,150.173,9.879,2251.405,0.224,5583.045,10.708,0.117,4854.44,10.545,0.17,9.006,0.499,0.359,5.625,0.446
（≧▽≦）,2.386,88.812,9.918,2251.858,0.221,5409.346,10.559,0.114,4915.832,10.613,0.172,8.615,0.507,0.405,5.48,0.412
独歩,2.399,92.015,9.066,2245.94,0.222,5627.376,10.837,0.132,4966.93,10.961,0.158,8.719,0.5,0.348,5.875,0.491
すずめクレイジー,2.403,154.68,9.91,2243.047,0.207,5850.847,10.851,0.105,4574.848,10.529,0.137,8.827,0.53,0.307,6.236,0.37
太くないお,2.403,115.611,9.083,2248.88,0.223,5527.174,10.412,0.114,4856.499,10.549,0.179,8.77,0.484,0.374,5.269,0.416
タケオしゃん,2.41,81.467,9.092,2237.594,0.213,5587.142,10.697,0.115,4698.036,10.637,0.142,8.911,0.507,0.338,5.565,0.405
コーラ下さい,2.393,99.444,9.161,2264.476,0.224,5411.739,10.615,0.125,4864.698,10.731,0.146,8.806,0.498,0.375,5.846,0.489
かにマジン,2.436,92.012,8.374,2213.023,0.22,5616.19,10.626,0.126,4763.851,10.661,0.16,8.818,0.492,0.344,5.7,0.439
就活生@川村軍団,2.41,84.771,8.408,2244.64,0.224,5666.686,10.811,0.134,4912.019,10.768,0.169,8.834,0.494,0.343,5.66,0.49
ウルトラ立直,2.44,56.079,8.502,2208.565,0.206,5679.218,10.597,0.111,4758.314,10.684,0.151,8.675,0.502,0.353,5.801,0.407
トトリ先生19歳,2.375,129.259,9.804,2299.585,0.223,5492.821,10.596,0.114,4810.883,10.629,0.163,8.878,0.504,0.396,5.716,0.455
おかもと,2.438,40.293,8.824,2209.482,0.206,5639.508,10.582,0.11,4798.716,10.574,0.163,8.789,0.502,0.353,5.39,0.394
gousi,2.449,68.275,8.531,2202.846,0.208,5744.126,10.746,0.111,4841.651,10.63,0.163,8.811,0.496,0.306,6.279,0.401
お知らせ,2.429,62.199,8.538,2229.464,0.21,5865.647,10.697,0.118,4948.095,10.733,0.198,8.938,0.475,0.3,5.679,0.426
右折するひつじ,2.392,105.99,9.61,2284.902,0.214,5755.573,10.609,0.109,4957.51,10.748,0.163,8.816,0.507,0.353,5.649,0.393
藤井聡太,2.382,166.537,9.595,2295.68,0.233,5608.069,10.608,0.116,5130.952,10.662,0.195,8.724,0.491,0.375,5.676,0.468
CLS,2.441,43.437,8.521,2221.849,0.198,6084.512,10.813,0.112,4863.052,10.807,0.162,8.843,0.494,0.292,6.25,0.392
yoteru,2.401,90.788,9.427,2257.875,0.22,5439.315,10.518,0.112,4767.081,10.584,0.179,8.625,0.494,0.38,5.249,0.43
いばらぎ,2.409,126.278,8.869,2262.074,0.228,5602.297,10.719,0.118,5007.081,10.766,0.187,8.77,0.492,0.334,5.544,0.472
火時計を押せ!,2.409,89.693,9.53,2258.976,0.204,5821.491,10.698,0.097,4826.941,10.8,0.171,8.596,0.503,0.315,5.926,0.368
