名前,試合数,１位,２位,３位,４位,飛び,１位率,２位率,３位率,４位率,飛び率,平均順位,通算収支,平均収支,通算スコア,平均スコア,局数,局収支,親局収支,子局収支,段位,最高段位,平均段位,安定段位,レート,最高レート,平均レート,安定レート,和了率,和了素点,和了収入,和了巡目,和了満貫未満,和了満貫,和了跳満,和了倍満,和了三倍満,和了役満,和了満貫以上,和了リーチ,和了ピンフ,和了タンヤオ,和了ファンパイ,和了チートイ,和了トイトイ,和了染め手,和了一発,和了ドラ枚数,ツモアガり割合,ダマテン割合,ダマテン素点,親和了率,親和了素点,親和了満貫以上,親ダマテン割合,親ダマテン素点,子和了率,子和了素点,子和了満貫以上,子ダマテン割合,子ダマテン素点,放銃率,放銃素点,放銃支出,放銃巡目,放銃満貫未満,放銃満貫,放銃跳満,放銃倍満,放銃三倍満,放銃役満,放銃満貫以上,放銃リーチ,放銃ピンフ,放銃タンヤオ,放銃ファンパイ,放銃チートイ,放銃トイトイ,放銃染め手,放銃一発,放銃ドラ枚数,親に放銃割合,親に放銃素点,親放銃率,親放銃素点,親放銃満貫以上,子放銃率,子放銃素点,子放銃満貫以上,立直率,立直収支,立直巡目,立直和了率,立直放銃率,立直流局率,立直和了素点,立直和了巡目,立直和了満貫以上,立直和了ピンフ,立直和了タンヤオ,立直和了一発,立直和了裏ドラ枚数,立直ツモアガり割合,親立直率,親立直収支,親立直和了率,親立直和了素点,親立直和了満貫以上,子立直率,子立直収支,子立直和了率,子立直和了素点,子立直和了満貫以上,副露率,１副露率,２副露率,３副露率,４副露率,副露収支,副露巡目,副露和了率,副露放銃率,副露和了素点,副露和了巡目,副露和了満貫以上,副露和了タンヤオ,副露和了ファンパイ,副露和了トイトイ,副露和了染め手,副露和了ドラ枚数,副露ツモアガり割合,親副露率,親副露収支,親副露和了率,親副露和了素点,親副露和了満貫以上,子副露率,子副露収支,子副露和了率,子副露和了素点,子副露和了満貫以上,カン率,カン収支,カン立直率,カン和了率,カン和了素点,流局率,通常流局率,途中流局率,流局収支,テンパイ率,テンパイ収支
ASAPIN,1566,436,399,410,321,73,0.278,0.255,0.262,0.205,0.047,2.393,2395500,1529.693,5469,3.492,16764,150.173,634.187,-12.399,11,11,8.848,9.879,2261.58,2341.94,2202.519,2251.405,0.224,5583.045,6169.128,10.708,0.639,0.288,0.065,0.007,0,0,0.361,0.38,0.196,0.216,0.411,0.028,0.019,0.045,0.072,1.225,0.398,0.147,5522.364,0.237,7707.207,0.438,0.136,8468.382,0.219,4811.955,0.333,0.15,4554.589,0.117,4854.44,-5160.494,10.545,0.702,0.26,0.034,0.003,0,0.001,0.298,0.311,0.179,0.236,0.428,0.03,0.018,0.051,0.054,1.17,0.268,4303.766,0.126,4263.619,0.269,0.114,5073.444,0.309,0.17,2778.194,9.006,0.499,0.139,0.159,7403.994,11.686,0.54,0.316,0.123,0.189,0.413,0.49,0.214,3579.535,0.473,9542.757,0.603,0.156,2407.271,0.512,6487.688,0.513,0.359,0.214,0.119,0.026,0,288.791,5.625,0.295,0.127,4137.091,9.807,0.22,0.266,0.791,0.038,0.085,1.073,0.339,0.367,559.806,0.282,5663.218,0.253,0.357,195.265,0.299,3641.299,0.21,0.017,1407.018,0.274,0.309,8386.364,0.156,0.144,0.011,-105.747,0.446,63.249
（≧▽≦）,1587,426,451,382,328,82,0.268,0.284,0.241,0.207,0.052,2.386,1523900,960.239,4776,3.009,16956,88.812,491.318,-43.883,11,11,8.626,9.918,2328.39,2337.61,2185.427,2251.858,0.221,5409.346,5977.276,10.559,0.66,0.273,0.058,0.009,0,0,0.34,0.393,0.189,0.257,0.386,0.019,0.013,0.038,0.065,1.233,0.405,0.104,5545.619,0.236,7197.177,0.376,0.092,7938.462,0.216,4765.129,0.328,0.108,4812.458,0.114,4915.832,-5256.946,10.613,0.686,0.27,0.041,0.003,0,0,0.314,0.321,0.185,0.246,0.435,0.03,0.017,0.05,0.061,1.178,0.257,4602.386,0.12,4548.134,0.312,0.112,5044.997,0.315,0.172,2739.039,8.615,0.507,0.136,0.16,7245.436,11.606,0.514,0.355,0.146,0.164,0.437,0.505,0.2,3604.41,0.491,9163.835,0.529,0.163,2389.306,0.514,6504.686,0.508,0.405,0.238,0.137,0.03,0,120.067,5.48,0.273,0.121,3935.197,9.654,0.196,0.328,0.699,0.024,0.073,1.098,0.339,0.408,494.81,0.285,5402.249,0.227,0.404,-4.678,0.27,3418.719,0.186,0.015,2074.803,0.319,0.339,8833.721,0.166,0.156,0.01,-207.4,0.412,-40.182
独歩,2557,710,690,585,572,162,0.278,0.27,0.229,0.224,0.063,2.399,2570100,1005.123,7795,3.048,27627,92.015,576.65,-75.359,11,11,8.446,9.066,2345.73,2345.73,2202.381,2245.94,0.222,5627.376,6201.696,10.837,0.648,0.273,0.067,0.012,0,0,0.352,0.353,0.205,0.238,0.393,0.03,0.016,0.058,0.065,1.23,0.41,0.172,5254.967,0.247,7381.937,0.382,0.134,7424.681,0.213,4924.029,0.34,0.188,4634.672,0.132,4966.93,-5257.248,10.961,0.689,0.262,0.042,0.007,0,0.001,0.311,0.36,0.195,0.241,0.398,0.027,0.017,0.049,0.064,1.197,0.283,4697.115,0.147,4625.947,0.307,0.127,5104.311,0.313,0.158,2794.831,8.719,0.5,0.146,0.162,7557.254,11.598,0.53,0.358,0.154,0.184,0.403,0.502,0.195,3857.308,0.499,9451.524,0.531,0.145,2300.606,0.501,6680.725,0.53,0.348,0.213,0.113,0.021,0,375.734,5.875,0.302,0.138,4312.802,9.986,0.231,0.281,0.739,0.034,0.109,1.121,0.36,0.388,692.548,0.302,5653.911,0.259,0.334,248.518,0.302,3773.633,0.22,0.017,1749.057,0.247,0.338,8018.012,0.156,0.145,0.011,-6.383,0.491,164.71
すずめクレイジー,1994,534,524,535,401,70,0.268,0.263,0.268,0.201,0.035,2.403,2897000,1452.859,6174,3.096,21690,154.68,712.996,-29.077,11,11,8.855,9.91,2304.9,2321.21,2200.587,2243.047,0.207,5850.847,6475.736,10.851,0.623,0.288,0.08,0.008,0,0.001,0.377,0.349,0.227,0.244,0.37,0.039,0.016,0.053,0.065,1.267,0.388,0.212,5458.105,0.243,7595.549,0.411,0.178,7403.448,0.195,5136.184,0.363,0.226,4829.526,0.105,4574.848,-4860.346,10.529,0.726,0.246,0.026,0.002,0,0,0.274,0.287,0.171,0.236,0.453,0.032,0.018,0.047,0.05,1.114,0.285,4211.533,0.123,4173.534,0.263,0.1,4737.082,0.279,0.137,3496.137,8.827,0.53,0.12,0.149,7796.515,11.684,0.554,0.387,0.136,0.184,0.425,0.492,0.187,4264.911,0.515,9594.981,0.571,0.121,3103.754,0.538,6917.642,0.546,0.307,0.199,0.092,0.016,0,439.504,6.236,0.294,0.119,4471.933,9.944,0.255,0.297,0.732,0.035,0.104,1.17,0.343,0.346,779.688,0.298,5803.255,0.264,0.294,307.939,0.292,3947.185,0.252,0.012,1573.134,0.284,0.31,8250.602,0.17,0.157,0.012,-258.091,0.37,-175.212
太くないお,3749,1065,940,913,831,181,0.284,0.251,0.244,0.222,0.048,2.403,4707300,1255.615,12199,3.254,40293,115.611,620.357,-56.53,11,11,8.618,9.083,2346.44,2348.06,2207.911,2248.88,0.223,5527.174,6069.235,10.412,0.655,0.266,0.068,0.01,0,0.002,0.345,0.384,0.178,0.231,0.411,0.026,0.014,0.042,0.074,1.2,0.399,0.105,5861.287,0.242,7488.28,0.397,0.093,8613.478,0.217,4779.297,0.325,0.11,4979.666,0.114,4856.499,-5198.202,10.549,0.703,0.251,0.039,0.005,0,0.001,0.297,0.308,0.186,0.251,0.424,0.029,0.013,0.042,0.064,1.186,0.278,4427.322,0.125,4386.234,0.288,0.11,5039.482,0.301,0.179,2577.661,8.77,0.484,0.144,0.166,7463.902,11.508,0.53,0.343,0.139,0.19,0.404,0.506,0.215,3464.458,0.466,9587.05,0.568,0.167,2187.25,0.491,6576.81,0.514,0.374,0.218,0.128,0.027,0.001,276.487,5.269,0.303,0.121,3977.9,9.462,0.195,0.282,0.735,0.028,0.08,1.031,0.332,0.385,713.203,0.311,5519.086,0.225,0.37,121.543,0.3,3411.334,0.184,0.018,1559.917,0.231,0.322,7621.795,0.166,0.155,0.011,-214.008,0.416,-36.098
タケオしゃん,2946,788,805,709,644,121,0.267,0.273,0.241,0.219,0.041,2.41,2645700,898.065,7515,2.551,31948,81.467,671.759,-115.692,11,11,8.368,9.092,2342.69,2346.18,2189.011,2237.594,0.213,5587.142,6138.852,10.697,0.652,0.273,0.067,0.007,0,0,0.348,0.335,0.208,0.25,0.392,0.037,0.017,0.048,0.065,1.239,0.383,0.199,5075.462,0.249,7387.312,0.393,0.173,7189.855,0.201,4842.27,0.329,0.209,4351.786,0.115,4698.036,-5007.614,10.637,0.715,0.25,0.032,0.003,0,0.001,0.285,0.31,0.174,0.236,0.441,0.03,0.018,0.052,0.05,1.14,0.269,4414.9,0.125,4349.655,0.3,0.111,4828.905,0.28,0.142,3043.544,8.911,0.507,0.138,0.167,7697.997,11.552,0.553,0.348,0.145,0.194,0.408,0.496,0.174,4277.961,0.513,9873.427,0.603,0.131,2495.57,0.504,6714.168,0.53,0.338,0.209,0.108,0.021,0,355.057,5.565,0.293,0.121,4274.178,9.907,0.223,0.302,0.732,0.035,0.095,1.151,0.326,0.376,754.893,0.311,5557.066,0.234,0.326,201.128,0.286,3736.861,0.217,0.013,1879.097,0.268,0.335,8248.936,0.164,0.154,0.01,-228.781,0.405,-88.534
コーラ下さい,2083,601,528,489,465,107,0.289,0.253,0.235,0.223,0.051,2.393,2247800,1079.117,6930,3.327,22302,99.444,585.677,-69.865,11,11,8.29,9.161,2363.52,2363.52,2208.622,2264.476,0.224,5411.739,5949.639,10.615,0.671,0.259,0.06,0.01,0,0,0.329,0.322,0.196,0.24,0.407,0.022,0.017,0.055,0.058,1.215,0.382,0.172,5320.537,0.245,7150.922,0.369,0.143,7749.254,0.217,4727.136,0.314,0.183,4576.372,0.125,4864.698,-5137.602,10.731,0.695,0.267,0.033,0.004,0,0.001,0.305,0.301,0.175,0.235,0.452,0.025,0.018,0.049,0.059,1.22,0.286,4378.589,0.14,4335.662,0.276,0.12,5079.364,0.317,0.146,2750.661,8.806,0.498,0.13,0.172,7336.813,11.637,0.505,0.352,0.122,0.179,0.432,0.49,0.181,3568.714,0.477,9270.02,0.541,0.134,2365.129,0.507,6480.481,0.489,0.375,0.233,0.119,0.022,0,305.319,5.846,0.301,0.139,4204.054,9.789,0.216,0.289,0.723,0.032,0.097,1.107,0.338,0.418,612.671,0.296,5502.809,0.229,0.36,181.171,0.303,3691.463,0.211,0.017,2314.092,0.266,0.382,8070.213,0.155,0.143,0.012,-33.498,0.489,145.343
かにマジン,3217,867,818,794,738,162,0.27,0.254,0.247,0.229,0.05,2.436,3238100,1006.559,7291,2.266,34714,92.012,653.711,-100.275,11,11,8.212,8.374,2310.07,2325.21,2189.445,2213.023,0.22,5616.19,6163.374,10.626,0.645,0.279,0.065,0.01,0,0.001,0.355,0.355,0.195,0.236,0.407,0.026,0.016,0.057,0.067,1.209,0.395,0.153,5487.511,0.252,7436.677,0.388,0.14,7708.946,0.21,4866.162,0.342,0.158,4675.234,0.126,4763.851,-5065.549,10.661,0.709,0.252,0.034,0.004,0,0,0.291,0.322,0.182,0.234,0.428,0.03,0.014,0.049,0.051,1.173,0.282,4383.039,0.141,4320.523,0.281,0.121,4941.294,0.294,0.16,2801.1,8.818,0.492,0.141,0.166,7577.509,11.634,0.54,0.334,0.132,0.186,0.397,0.52,0.2,3889.159,0.495,9414.595,0.551,0.146,2290.379,0.491,6708.041,0.535,0.344,0.211,0.109,0.023,0,344.296,5.7,0.315,0.138,4229.941,9.749,0.225,0.285,0.742,0.03,0.104,1.079,0.327,0.36,812.433,0.327,5691.85,0.244,0.338,173.817,0.31,3667.503,0.218,0.017,1919.113,0.259,0.34,7831.156,0.157,0.145,0.012,-160.629,0.439,12.443
就活生@川村軍団,2940,852,735,650,703,187,0.29,0.25,0.221,0.239,0.064,2.41,2684900,913.231,8853,3.011,31354,84.771,623.792,-99.439,11,11,8.116,8.408,2370.43,2380,2198.855,2244.64,0.224,5666.686,6211.873,10.811,0.642,0.277,0.071,0.009,0,0.001,0.358,0.369,0.206,0.247,0.386,0.024,0.014,0.053,0.069,1.243,0.4,0.156,5173.224,0.24,7758.82,0.41,0.129,8109.312,0.219,4883.311,0.339,0.166,4321.034,0.134,4912.019,-5211.381,10.768,0.697,0.258,0.041,0.004,0,0,0.303,0.319,0.179,0.227,0.441,0.03,0.021,0.052,0.06,1.171,0.259,4355.242,0.137,4319.801,0.282,0.132,5121.349,0.31,0.169,2871.099,8.834,0.494,0.133,0.171,7699.311,11.543,0.553,0.355,0.144,0.185,0.427,0.499,0.217,3738.985,0.472,9795.232,0.573,0.152,2447.537,0.505,6743.112,0.544,0.343,0.199,0.118,0.026,0.001,296.903,5.66,0.309,0.142,4233.063,10.005,0.225,0.309,0.719,0.027,0.106,1.129,0.34,0.331,795.766,0.322,5699.647,0.248,0.347,134.184,0.305,3728.387,0.217,0.018,1526.957,0.243,0.31,7793.258,0.155,0.144,0.012,-22.494,0.49,176.32
ウルトラ立直,5624,1473,1465,1426,1260,267,0.262,0.26,0.254,0.224,0.047,2.44,3488700,620.324,9452,1.681,60837,56.079,601.02,-125.261,11,11,8.213,8.502,2347.55,2347.55,2184.284,2208.565,0.206,5679.218,6231.225,10.597,0.638,0.283,0.069,0.008,0.001,0.001,0.362,0.367,0.192,0.231,0.402,0.029,0.017,0.059,0.066,1.228,0.404,0.15,5512.487,0.23,7594.602,0.409,0.133,7921.627,0.197,4934.547,0.344,0.157,4717.385,0.111,4758.314,-5063.603,10.684,0.706,0.255,0.035,0.004,0,0,0.294,0.303,0.173,0.24,0.423,0.033,0.016,0.047,0.055,1.16,0.269,4273.521,0.121,4234.462,0.279,0.108,4953.812,0.299,0.151,2916.044,8.675,0.502,0.131,0.168,7569.833,11.473,0.541,0.344,0.136,0.18,0.407,0.512,0.179,4197.716,0.504,9796.64,0.579,0.142,2378.665,0.501,6629.519,0.525,0.353,0.219,0.11,0.024,0,245.315,5.801,0.28,0.123,4281.607,9.738,0.232,0.272,0.744,0.034,0.109,1.103,0.345,0.391,574.752,0.28,5692.312,0.255,0.341,119.592,0.279,3741.398,0.223,0.018,1449.288,0.206,0.283,8180.818,0.17,0.16,0.011,-220.004,0.407,-74.047
